user_id,age_group,gender,account_tenure,customer_tier,spending_persona,preferred_method,user_home_city,user_total_txns,user_total_spend,user_avg_txn_amount,user_failure_rate_pct,user_spending_tier
USR00239,25-34,Female,5+ years,Regular,High Spender,Debit Card,Pune,122,1869879.65,17640.37,9.84,Very High
USR00072,25-34,Male,2-5 years,New,Moderate,Credit Card,Delhi,117,556357.1900000001,5454.48,8.55,Very High
USR00186,55+,Male,1-2 years,Premium,High Spender,Debit Card,Chennai,129,1430670.55,12124.33,7.75,Very High
USR00244,25-34,Female,6-12 months,VIP,High Spender,UPI,Hyderabad,121,1559864.07,14998.69,6.61,Very High
USR00495,25-34,Male,0-6 months,Premium,High Spender,Mobile Wallet,Delhi,127,1445048.51,12457.31,7.09,Very High
USR00116,35-44,Male,2-5 years,Regular,Moderate,UPI,Mumbai,123,910423.91,7916.73,4.88,Very High
USR00422,55+,Female,6-12 months,VIP,Moderate,Mobile Wallet,Ahmedabad,130,647697.6,5535.88,8.46,Very High
USR00420,45-54,Female,5+ years,Premium,Impulse,UPI,Chennai,105,661738.49,7115.47,7.62,Very High
USR00260,25-34,Female,1-2 years,Premium,Impulse,UPI,Hyderabad,143,1582090.19,12169.92,4.9,Very High
USR00101,45-54,Female,0-6 months,Regular,Moderate,Net Banking,Pune,130,1197758.1,9817.69,3.85,Very High
USR00065,35-44,Female,2-5 years,Regular,Budget,UPI,Jaipur,126,499542.42,4420.73,5.56,Very High
USR00247,55+,Female,2-5 years,Regular,High Spender,Debit Card,Hyderabad,113,1570452.61,14956.69,4.42,Very High
USR00213,35-44,Male,2-5 years,Regular,Budget,Mobile Wallet,Bangalore,125,493774.91,4184.53,4.0,Very High
USR00188,25-34,Male,5+ years,Regular,Budget,UPI,Bangalore,131,382848.15,3217.21,6.87,Very High
USR00118,45-54,Male,2-5 years,Premium,Impulse,Credit Card,Kolkata,131,1090752.15,9243.66,4.58,Very High
USR00189,45-54,Male,2-5 years,Premium,High Spender,UPI,Mumbai,109,1361322.71,13346.3,2.75,Very High
USR00411,45-54,Other,2-5 years,Regular,Moderate,Credit Card,Ahmedabad,122,938679.37,8162.43,3.28,Very High
USR00302,25-34,Female,6-12 months,Premium,Budget,Credit Card,Ahmedabad,122,465019.99,4189.37,4.92,Very High
USR00399,25-34,Male,0-6 months,Regular,High Spender,Debit Card,Kolkata,131,2026869.74,17473.02,8.4,Very High
USR00267,35-44,Male,6-12 months,Regular,Budget,UPI,Mumbai,132,454457.85,4057.66,10.61,Very High
USR00180,45-54,Male,2-5 years,Premium,Moderate,Credit Card,Ahmedabad,126,909081.93,7905.06,7.94,Very High
USR00078,45-54,Female,0-6 months,New,Moderate,Debit Card,Mumbai,123,714695.22,6381.21,7.32,Very High
USR00157,18-24,Male,2-5 years,Premium,Moderate,Debit Card,Jaipur,128,947662.23,8694.15,8.59,Very High
USR00389,25-34,Male,2-5 years,Regular,Budget,UPI,Bangalore,113,408627.33,4127.55,10.62,Very High
USR00084,45-54,Male,5+ years,Regular,Moderate,Debit Card,Lucknow,120,578883.5,5513.18,9.17,Very High
USR00033,35-44,Male,5+ years,Regular,Impulse,UPI,Mumbai,134,971529.1,8303.67,10.45,Very High
USR00497,35-44,Female,2-5 years,Regular,Impulse,Debit Card,Kolkata,111,774764.54,7905.76,9.91,Very High
USR00240,25-34,Male,2-5 years,Regular,Moderate,UPI,Ahmedabad,123,544204.79,4815.97,6.5,Very High
USR00265,18-24,Male,6-12 months,Regular,High Spender,Net Banking,Mumbai,128,2136804.57,17956.34,3.91,Very High
USR00306,45-54,Male,1-2 years,Regular,Moderate,Credit Card,Hyderabad,129,800193.5,6898.22,6.2,Very High
USR00421,25-34,Male,1-2 years,New,Budget,Mobile Wallet,Indore,105,538143.5,5381.44,4.76,Very High
USR00215,45-54,Female,5+ years,New,Moderate,Net Banking,Bangalore,118,895719.5900000001,8142.91,5.08,Very High
USR00092,35-44,Male,5+ years,Regular,Moderate,UPI,Mumbai,105,555284.98,5970.81,7.62,Very High
USR00460,25-34,Female,2-5 years,Regular,Moderate,UPI,Ahmedabad,105,489565.09,5047.06,3.81,Very High
USR00061,35-44,Male,2-5 years,Regular,Budget,Debit Card,Bangalore,127,346670.5,3209.91,9.45,Very High
USR00024,25-34,Female,5+ years,New,Budget,Debit Card,Pune,113,367206.5,3747.01,6.19,Very High
USR00016,18-24,Male,1-2 years,VIP,High Spender,UPI,Pune,121,1537566.31,14784.29,10.74,Very High
USR00003,35-44,Male,2-5 years,Premium,Budget,Net Banking,Pune,125,611106.48,5360.58,8.0,Very High
USR00300,18-24,Female,6-12 months,Premium,Moderate,Mobile Wallet,Hyderabad,131,779895.9,6499.13,6.87,Very High
USR00211,25-34,Male,5+ years,Regular,High Spender,Debit Card,Kochi,135,1618591.44,13267.14,6.67,Very High
USR00472,18-24,Female,6-12 months,Regular,Moderate,Credit Card,Delhi,121,654452.97,6004.16,9.09,Very High
USR00226,45-54,Female,6-12 months,VIP,Moderate,Mobile Wallet,Lucknow,117,782674.58,7246.99,5.13,Very High
USR00212,35-44,Female,2-5 years,Regular,Budget,Debit Card,Mumbai,130,381533.43,3206.16,6.15,Very High
USR00287,25-34,Male,5+ years,Premium,Impulse,Debit Card,Delhi,127,1031581.94,9048.96,8.66,Very High
USR00207,35-44,Female,2-5 years,New,High Spender,Credit Card,Hyderabad,100,910773.11,10590.38,12.0,Very High
USR00139,45-54,Female,5+ years,Regular,Budget,Net Banking,Mumbai,121,315571.49,3034.34,11.57,Very High
USR00005,35-44,Female,2-5 years,Regular,Impulse,UPI,Jaipur,121,802836.16,7365.47,9.09,Very High
USR00147,25-34,Male,5+ years,New,High Spender,UPI,Lucknow,137,1740446.69,13704.3,5.11,Very High
USR00309,45-54,Female,5+ years,New,Moderate,UPI,Bangalore,125,631223.11,5488.9,4.8,Very High
USR00404,25-34,Female,6-12 months,New,High Spender,Mobile Wallet,Delhi,133,1786829.89,14527.07,6.02,Very High
USR00291,25-34,Female,5+ years,Premium,Budget,Debit Card,Delhi,107,497354.47,5235.31,6.54,Very High
USR00012,25-34,Male,2-5 years,Regular,Moderate,Mobile Wallet,Hyderabad,116,611643.44,5881.19,4.31,Very High
USR00318,18-24,Male,1-2 years,Regular,Budget,UPI,Bangalore,133,474858.35,4058.62,9.77,Very High
USR00119,25-34,Female,5+ years,Premium,Moderate,Credit Card,Mumbai,132,609940.38,5303.83,10.61,Very High
USR00035,35-44,Male,2-5 years,Regular,Impulse,UPI,Chennai,127,1141263.27,10011.08,6.3,Very High
USR00350,35-44,Female,2-5 years,New,Budget,Net Banking,Hyderabad,122,398658.18,3760.93,9.02,Very High
USR00338,45-54,Female,2-5 years,Regular,Impulse,UPI,Mumbai,120,865066.3,8398.7,8.33,Very High
USR00250,55+,Female,2-5 years,New,Budget,UPI,Ahmedabad,129,506187.81,4401.63,7.75,Very High
USR00206,25-34,Male,2-5 years,Premium,Budget,Net Banking,Kolkata,111,456624.17,4521.03,7.21,Very High
USR00479,25-34,Female,5+ years,Regular,Impulse,UPI,Chennai,121,1291461.87,11957.98,6.61,Very High
USR00162,25-34,Male,2-5 years,Regular,Moderate,UPI,Jaipur,128,1163920.33,9948.04,5.47,Very High
USR00371,35-44,Male,1-2 years,Premium,High Spender,UPI,Kolkata,105,1386809.88,14753.3,8.57,Very High
USR00110,35-44,Female,1-2 years,Premium,Budget,Mobile Wallet,Delhi,122,301189.29,2841.41,10.66,Very High
USR00040,18-24,Male,0-6 months,Regular,Budget,Debit Card,Indore,144,431799.44,3246.61,7.64,Very High
USR00077,25-34,Female,2-5 years,Regular,Moderate,Net Banking,Chennai,117,798755.4299999999,7535.43,5.98,Very High
USR00363,35-44,Male,0-6 months,Premium,Moderate,UPI,Bangalore,118,592095.42,5482.37,4.24,Very High
USR00201,18-24,Male,2-5 years,Regular,Budget,Mobile Wallet,Bangalore,127,490450.11,4458.64,9.45,Very High
USR00368,45-54,Other,1-2 years,New,Budget,UPI,Pune,137,647675.88,5308.82,8.76,Very High
USR00315,25-34,Female,0-6 months,Regular,Impulse,Credit Card,Coimbatore,121,789017.6,8051.2,17.36,Very High
USR00370,55+,Male,2-5 years,New,Moderate,Credit Card,Mumbai,127,790896.16,6759.8,5.51,Very High
USR00167,25-34,Female,0-6 months,Regular,Moderate,UPI,Pune,134,1044010.58,8847.55,6.72,Very High
USR00465,35-44,Female,2-5 years,VIP,Budget,Credit Card,Pune,134,445147.76,3772.44,6.72,Very High
USR00372,35-44,Female,1-2 years,VIP,Moderate,UPI,Mumbai,98,769446.37,8947.05,8.16,Very High
USR00279,25-34,Female,5+ years,Regular,Moderate,Debit Card,Guwahati,119,760931.19,7387.68,12.61,Very High
USR00009,35-44,Male,1-2 years,VIP,Moderate,Credit Card,Delhi,124,584522.6,5172.77,5.65,Very High
USR00235,25-34,Male,6-12 months,New,Budget,UPI,Bangalore,135,538645.43,4343.91,3.7,Very High
USR00115,45-54,Male,1-2 years,Regular,Impulse,Credit Card,Hyderabad,119,879650.65,8298.59,6.72,Very High
USR00345,35-44,Male,1-2 years,New,Moderate,UPI,Delhi,112,660094.6,7022.28,8.93,Very High
USR00376,55+,Other,5+ years,New,High Spender,Credit Card,Hyderabad,106,1055490.05,10881.34,5.66,Very High
USR00387,25-34,Male,0-6 months,Premium,Budget,Credit Card,Kolkata,131,427373.25,3503.06,2.29,Very High
USR00294,55+,Male,5+ years,Regular,Budget,Debit Card,Indore,115,431785.82,4317.86,11.3,Very High
USR00445,45-54,Female,2-5 years,Regular,Moderate,Credit Card,Hyderabad,126,620405.01,5302.61,6.35,Very High
USR00187,35-44,Female,2-5 years,Premium,Moderate,UPI,Jaipur,117,667185.4,6415.24,7.69,Very High
USR00091,25-34,Male,0-6 months,Regular,Budget,UPI,Kochi,109,474315.55,4940.79,8.26,Very High
USR00204,55+,Female,1-2 years,Regular,Moderate,Mobile Wallet,Hyderabad,122,708330.36,6381.35,6.56,Very High
USR00269,18-24,Male,1-2 years,Regular,Moderate,Mobile Wallet,Pune,125,857490.4,7392.16,6.4,Very High
USR00229,35-44,Male,6-12 months,VIP,Budget,Debit Card,Bangalore,101,363159.07,4080.44,7.92,Very High
USR00128,35-44,Male,6-12 months,Premium,Budget,UPI,Chennai,119,553707.24,5126.92,6.72,Very High
USR00037,25-34,Other,5+ years,New,Budget,UPI,Mumbai,129,598153.66,5069.1,5.43,Very High
USR00170,18-24,Male,5+ years,Premium,Moderate,Credit Card,Lucknow,104,523891.92,5757.05,6.73,Very High
USR00471,55+,Male,5+ years,Regular,High Spender,UPI,Chennai,130,1712277.31,14510.82,6.15,Very High
USR00263,45-54,Male,2-5 years,New,Impulse,UPI,Indore,124,1303640.81,11639.65,5.65,Very High
USR00216,18-24,Female,1-2 years,Regular,Moderate,Debit Card,Mumbai,123,736867.24,6822.84,10.57,Very High
USR00264,35-44,Male,5+ years,Premium,Moderate,UPI,Kochi,122,1046689.76,9874.43,9.84,Very High
USR00258,35-44,Female,0-6 months,Regular,High Spender,UPI,Pune,129,1030305.61,8731.4,8.53,Very High
USR00321,55+,Female,6-12 months,Regular,Budget,UPI,Chandigarh,117,379830.34,3617.43,7.69,Very High
USR00155,25-34,Male,6-12 months,Regular,Moderate,Credit Card,Kolkata,129,779709.1900000001,6721.63,9.3,Very High
USR00284,35-44,Female,0-6 months,Premium,Moderate,UPI,Mumbai,119,622176.21,5656.15,6.72,Very High
USR00252,35-44,Female,2-5 years,Premium,Moderate,UPI,Bangalore,121,819506.64,7731.19,10.74,Very High
USR00470,25-34,Male,1-2 years,Premium,Moderate,Mobile Wallet,Ahmedabad,115,969040.46,9141.89,5.22,Very High
USR00392,25-34,Female,1-2 years,Regular,Moderate,Net Banking,Chennai,130,966939.58,8871.01,7.69,Very High
USR00488,35-44,Male,0-6 months,Regular,High Spender,UPI,Jaipur,118,1375842.34,12858.34,5.93,Very High
USR00096,45-54,Male,2-5 years,Regular,Moderate,Mobile Wallet,Chennai,111,536075.92,5414.91,6.31,Very High
USR00103,18-24,Male,1-2 years,Regular,Budget,UPI,Hyderabad,121,440032.29,3894.09,5.79,Very High
USR00466,18-24,Female,2-5 years,Regular,High Spender,UPI,Bangalore,115,1549094.53,14895.14,5.22,Very High
USR00069,35-44,Female,2-5 years,Regular,Budget,UPI,Chennai,130,558106.22,4770.14,7.69,Very High
USR00436,18-24,Female,1-2 years,Regular,Moderate,Debit Card,Delhi,128,609044.62,5075.37,5.47,Very High
USR00490,25-34,Female,1-2 years,Premium,Budget,Net Banking,Mumbai,123,347976.77,3314.06,10.57,Very High
USR00410,25-34,Male,6-12 months,VIP,Moderate,Debit Card,Mumbai,127,844182.04,7470.64,8.66,Very High
USR00070,45-54,Female,1-2 years,Premium,Moderate,Debit Card,Kolkata,108,550783.73,5678.18,5.56,Very High
USR00055,45-54,Female,1-2 years,Regular,Moderate,Credit Card,Bangalore,117,871859.99,8383.27,8.55,Very High
USR00403,25-34,Other,0-6 months,Regular,Moderate,Net Banking,Pune,122,1071603.3,9318.29,4.1,Very High
USR00360,55+,Male,0-6 months,Premium,High Spender,Net Banking,Bangalore,115,1379267.22,13390.94,7.83,Very High
USR00322,18-24,Male,1-2 years,Regular,Budget,UPI,Hyderabad,135,397286.09,3454.66,11.11,Very High
USR00489,25-34,Other,1-2 years,Regular,Budget,UPI,Delhi,131,464033.23,4000.29,7.63,Very High
USR00181,18-24,Male,5+ years,Regular,High Spender,Credit Card,Mumbai,124,1484387.44,12687.07,5.65,Very High
USR00148,25-34,Male,2-5 years,New,Budget,Net Banking,Mumbai,135,475424.4,4098.49,10.37,Very High
USR00395,18-24,Female,6-12 months,Regular,Budget,Mobile Wallet,Kolkata,103,462653.87,4921.85,5.83,Very High
USR00386,25-34,Female,1-2 years,Regular,Budget,Credit Card,Bangalore,131,623182.01,5066.52,5.34,Very High
USR00414,35-44,Male,2-5 years,VIP,Budget,Mobile Wallet,Mumbai,125,456906.5,4393.33,11.2,Very High
USR00094,55+,Male,5+ years,Regular,Budget,Debit Card,Mumbai,117,521945.33,4877.99,6.84,Very High
USR00062,35-44,Female,0-6 months,Regular,Budget,Mobile Wallet,Mumbai,114,497665.07,4694.95,3.51,Very High
USR00049,45-54,Male,1-2 years,Premium,Budget,UPI,Delhi,96,308851.5,3676.8,7.29,Very High
USR00228,45-54,Female,6-12 months,Premium,Moderate,UPI,Indore,112,976279.36,9762.79,8.04,Very High
USR00154,35-44,Male,2-5 years,Premium,Moderate,Net Banking,Hyderabad,112,706071.64,6661.05,4.46,Very High
USR00026,18-24,Male,1-2 years,Regular,High Spender,Debit Card,Delhi,122,1291321.45,11228.88,4.1,Very High
USR00480,55+,Female,1-2 years,Regular,High Spender,UPI,Delhi,121,1325259.57,12270.92,6.61,Very High
USR00090,35-44,Female,6-12 months,Regular,Moderate,Debit Card,Mumbai,106,444701.46,4681.07,7.55,Very High
USR00398,55+,Male,6-12 months,Regular,High Spender,Debit Card,Bangalore,114,1460320.81,14603.21,8.77,Very High
USR00412,25-34,Male,6-12 months,Regular,Budget,Mobile Wallet,Chandigarh,116,443495.92,4106.44,3.45,Very High
USR00253,35-44,Male,5+ years,Regular,Budget,UPI,Delhi,136,535579.1900000001,4657.21,9.56,Very High
USR00484,25-34,Female,2-5 years,Regular,Moderate,UPI,Pune,121,633575.62,5759.78,4.13,Very High
USR00418,18-24,Male,6-12 months,Regular,Budget,Mobile Wallet,Hyderabad,138,431577.88,3371.7,5.8,Very High
USR00246,55+,Female,2-5 years,Premium,Moderate,UPI,Pune,122,912900.73,8007.9,4.1,Very High
USR00081,25-34,Male,1-2 years,Premium,High Spender,UPI,Bangalore,116,1351319.05,12748.29,6.03,Very High
USR00099,25-34,Male,2-5 years,Premium,Moderate,Debit Card,Chennai,133,819802.21,7006.86,7.52,Very High
USR00375,45-54,Female,1-2 years,New,Moderate,Debit Card,Mumbai,113,556825.82,6118.97,10.62,Very High
USR00425,55+,Female,6-12 months,Regular,Impulse,UPI,Chennai,109,742788.85,7737.38,7.34,Very High
USR00242,45-54,Male,5+ years,Premium,Budget,Credit Card,Bangalore,124,502431.49,4486.0,7.26,Very High
USR00483,25-34,Male,2-5 years,Regular,Budget,Debit Card,Pune,114,491687.04,4773.66,7.89,Very High
USR00023,25-34,Male,2-5 years,Regular,Budget,UPI,Mumbai,104,444562.11,4832.2,9.62,Very High
USR00058,25-34,Male,1-2 years,VIP,High Spender,UPI,Hyderabad,103,1161624.64,12100.26,2.91,Very High
USR00365,18-24,Female,1-2 years,Premium,Budget,UPI,Pune,113,363860.98,3465.34,6.19,Very High
USR00482,35-44,Male,5+ years,Premium,Moderate,UPI,Delhi,114,823023.82,8068.86,7.89,Very High
USR00163,35-44,Male,6-12 months,Premium,Budget,Net Banking,Lucknow,121,531597.16,4877.04,5.79,Very High
USR00305,45-54,Female,0-6 months,New,Budget,UPI,Pune,123,451816.54,4070.42,7.32,Very High
USR00478,35-44,Male,5+ years,Regular,Budget,Debit Card,Bangalore,123,468766.39,4148.38,6.5,Very High
USR00299,35-44,Female,6-12 months,Premium,Impulse,Debit Card,Hyderabad,96,650094.72,7387.44,7.29,Very High
USR00068,25-34,Female,1-2 years,Regular,Moderate,Mobile Wallet,Mumbai,135,493417.04,4253.6,11.11,Very High
USR00308,25-34,Female,0-6 months,New,Budget,Credit Card,Mumbai,112,563631.24,5580.51,4.46,Very High
USR00113,45-54,Other,6-12 months,Regular,Moderate,Mobile Wallet,Delhi,123,932184.82,8398.06,8.13,Very High
USR00031,45-54,Male,1-2 years,VIP,Impulse,Credit Card,Delhi,133,1208274.24,10068.95,4.51,Very High
USR00429,35-44,Male,1-2 years,Premium,Moderate,Debit Card,Bangalore,131,687986.24,6088.37,10.69,Very High
USR00161,55+,Female,2-5 years,Premium,Budget,Mobile Wallet,Jaipur,121,742435.59,6628.89,4.96,Very High
USR00255,25-34,Other,2-5 years,VIP,High Spender,UPI,Pune,139,1942270.65,15414.85,5.76,Very High
USR00453,25-34,Male,6-12 months,Premium,High Spender,UPI,Mumbai,107,1281826.94,13352.36,7.48,Very High
USR00329,45-54,Male,1-2 years,Premium,Budget,Debit Card,Jaipur,124,433202.62,4247.08,15.32,Very High
USR00152,35-44,Male,5+ years,New,Budget,Debit Card,Bangalore,95,379486.6,4263.89,3.16,Very High
USR00251,35-44,Female,1-2 years,Regular,Impulse,UPI,Bangalore,135,1084484.87,8962.68,8.15,Very High
USR00227,18-24,Male,6-12 months,Regular,High Spender,UPI,Mumbai,130,1724934.76,15539.95,10.77,Very High
USR00001,18-24,Male,6-12 months,Premium,Moderate,Mobile Wallet,Pune,117,721295.54,6741.08,6.84,Very High
USR00220,45-54,Male,5+ years,Regular,Budget,Debit Card,Mumbai,134,675133.5,5401.07,3.73,Very High
USR00010,45-54,Female,6-12 months,New,Moderate,UPI,Pune,128,870829.65,7379.91,6.25,Very High
USR00036,25-34,Male,2-5 years,Regular,Moderate,Net Banking,Kolkata,104,596166.76,6146.05,6.73,Very High
USR00098,35-44,Male,6-12 months,New,Budget,Credit Card,Delhi,140,418749.9,3323.41,6.43,Very High
USR00413,18-24,Other,2-5 years,Premium,Impulse,Mobile Wallet,Ahmedabad,122,1071263.26,9919.1,8.2,Very High
USR00256,35-44,Male,1-2 years,Regular,Moderate,UPI,Delhi,117,712183.91,6847.92,8.55,Very High
USR00232,25-34,Female,1-2 years,Premium,Moderate,UPI,Chennai,115,599346.55,5549.51,5.22,Very High
USR00275,25-34,Female,1-2 years,Regular,Moderate,UPI,Mumbai,123,687256.08,6191.5,8.13,Very High
USR00327,25-34,Male,2-5 years,Regular,Moderate,Debit Card,Jaipur,102,681384.75,7406.36,9.8,Very High
USR00391,25-34,Female,1-2 years,Regular,Budget,UPI,Hyderabad,118,568411.69,5263.07,5.93,Very High
USR00451,25-34,Female,6-12 months,Regular,Moderate,UPI,Kochi,119,506686.06,4919.28,8.4,Very High
USR00351,25-34,Female,0-6 months,Premium,Moderate,Mobile Wallet,Jaipur,120,684843.04,6341.14,6.67,Very High
USR00276,45-54,Female,1-2 years,Premium,High Spender,Credit Card,Hyderabad,100,1317649.5,15686.3,9.0,Very High
